Chromosome,Region,Name,CenterOfPeak,Length,PeakShapeScore,P-value,5'gene,5'distance,3'gene,3'distance
NCTC8325 Genomic sequence,659120..659415,Peak,659276,296,45.1460524,0,SAOUHSC_00670,175,SAOUHSC_00671,116
NCTC8325 Genomic sequence,2766843..2767174,Peak,2767037,332,45.52216814,0,SAOUHSC_02990,98,SAOUHSC_02991,114
NCTC8325 Genomic sequence,1874845..1875138,Peak,1874999,294,51.01947148,0,SAOUHSC_01971,0,SAOUHSC_01972,110
NCTC8325 Genomic sequence,1131637..1131927,Peak,1131776,291,48.25026599,0,SAOUHSC_01179,121,SAOUHSC_01180,93
NCTC8325 Genomic sequence,2077813..2078130,Peak,2077953,318,41.40808168,0,SAOUHSC_02243,26,SAOUHSC_02244,90
NCTC8325 Genomic sequence,482997..483302,Peak,483137,306,45.01598092,0,SAOUHSC_00485,0,SAOUHSC_00486,89
NCTC8325 Genomic sequence,790944..791295,Peak,791084,352,44.91227013,0,SAOUHSC_00808,9,SAOUHSC_00809,74
NCTC8325 Genomic sequence,1794960..1795296,Peak,1795100,337,52.28542237,0,SAOUHSC_01879,111,SAOUHSC_01880,71
NCTC8325 Genomic sequence,593424..593723,Peak,593584,300,43.01076777,0,SAOUHSC_00598,0,SAOUHSC_00599,65
NCTC8325 Genomic sequence,875315..875606,Peak,875467,292,39.52483831,0,SAOUHSC_00905,0,SAOUHSC_00906,60
NCTC8325 Genomic sequence,928133..928426,Peak,928287,294,45.18984282,0,SAOUHSC_00953,82,SAOUHSC_00954,56
NCTC8325 Genomic sequence,880272..880572,Peak,880412,301,53.60298034,0,SAOUHSC_00910,199,SAOUHSC_00911,46
NCTC8325 Genomic sequence,489603..489889,Peak,489750,287,46.93133001,0,SAOUHSC_00491,61,SAOUHSC_00492,45
NCTC8325 Genomic sequence,407002..407304,Peak,407142,303,38.9874545,0,SAOUHSC_00404,0,SAOUHSC_00405,40
NCTC8325 Genomic sequence,783242..783660,Peak,783382,419,46.68717321,0,eno,0,SAOUHSC_00800,40
NCTC8325 Genomic sequence,2357890..2358234,Peak,2358030,345,43.25334349,0,SAOUHSC_02566,43,SAOUHSC_02568,39
NCTC8325 Genomic sequence,1404755..1405057,Peak,1404895,303,42.12006508,0,SAOUHSC_01447,56,SAOUHSC_01448,38
NCTC8325 Genomic sequence,660333..660652,Peak,660473,320,44.56429519,0,SAOUHSC_00671,3,SAOUHSC_00672,37
NCTC8325 Genomic sequence,313990..314294,Peak,314155,305,49.52145085,0,SAOUHSC_00299,81,SAOUHSC_00300,31
NCTC8325 Genomic sequence,911425..911710,Peak,911571,286,47.30661946,0,SAOUHSC_00937,144,SAOUHSC_00938,29
NCTC8325 Genomic sequence,1081287..1081593,Peak,1081454,307,38.64901316,0,SAOUHSC_01127,101,SAOUHSC_01128,29
NCTC8325 Genomic sequence,970546..970839,Peak,970700,294,48.9401864,0,SAOUHSC_00997,130,SAOUHSC_00998,26
NCTC8325 Genomic sequence,800752..801053,Peak,800914,302,45.88897242,0,SAOUHSC_00818,31,SAOUHSC_00819,23
NCTC8325 Genomic sequence,1075974..1076392,Peak,1076114,419,43.3763661,0,SAOUHSC_01120,37,SAOUHSC_01121,20
NCTC8325 Genomic sequence,2607805..2608086,Peak,2607947,282,42.38241701,0,SAOUHSC_02829,16,SAOUHSC_02830,16
NCTC8325 Genomic sequence,924789..925075,Peak,924929,287,42.67655205,0,SAOUHSC_00950,0,SAOUHSC_00951,9
NCTC8325 Genomic sequence,609967..610253,Peak,610114,287,44.60173326,0,SAOUHSC_00618,0,SAOUHSC_00619,8
NCTC8325 Genomic sequence,949305..949711,Peak,949572,407,47.81752949,0,SAOUHSC_00975,172,SAOUHSC_00976,4
NCTC8325 Genomic sequence,550804..551102,Peak,550963,299,41.52358004,0,SAOUHSC_00544,65,SAOUHSC_00545,2
NCTC8325 Genomic sequence,2597845..2598139,Peak,2598000,295,43.27188781,0,SAOUHSC_02819,196,SAOUHSC_02820,0
NCTC8325 Genomic sequence,1557508..1557795,Peak,1557648,288,45.72146386,0,SAOUHSC_01637,186,SAOUHSC_01638,0
NCTC8325 Genomic sequence,1441762..1442046,Peak,1441901,285,51.18092077,0,SAOUHSC_01483,185,SAOUHSC_01484,0
NCTC8325 Genomic sequence,116271..116563,Peak,116424,293,40.23089105,0,SAOUHSC_00112,182,SAOUHSC_00113,0
NCTC8325 Genomic sequence,1301175..1301514,Peak,1301375,340,52.55297629,0,SAOUHSC_01358,171,SAOUHSC_01359,0
NCTC8325 Genomic sequence,49224..49505,Peak,49366,282,39.44409285,0,SAOUHSC_00046,167,SAOUHSC_00047,0
NCTC8325 Genomic sequence,119287..119570,Peak,119427,284,41.15957747,0,SAOUHSC_00113,139,SAOUHSC_00114,0
NCTC8325 Genomic sequence,363674..363966,Peak,363827,293,39.91690915,0,SAOUHSC_00353,139,SAOUHSC_00354,0
NCTC8325 Genomic sequence,1714339..1714668,Peak,1714479,330,55.03496604,0,SAOUHSC_01810,131,SAOUHSC_01811,0
NCTC8325 Genomic sequence,803501..803917,Peak,803779,417,42.83737875,0,SAOUHSC_00823,130,SAOUHSC_00824,0
NCTC8325 Genomic sequence,147066..147350,Peak,147206,285,40.41317675,0,SAOUHSC_00142,103,SAOUHSC_00143,0
NCTC8325 Genomic sequence,833799..834106,Peak,833967,308,42.61800615,0,SAOUHSC_00866,103,SAOUHSC_00867,0
NCTC8325 Genomic sequence,547421..547815,Peak,547677,395,49.27624691,0,SAOUHSC_00543,100,SAOUHSC_A00526,0
NCTC8325 Genomic sequence,563718..564132,Peak,563993,415,40.3191866,0,SAOUHSC_00555,91,SAOUHSC_00556,0
NCTC8325 Genomic sequence,1271870..1272259,Peak,1272010,390,43.41183565,0,rpmG,86,rpsN,0
NCTC8325 Genomic sequence,2134673..2135006,Peak,2134867,334,38.55472651,0,SAOUHSC_02301,82,SAOUHSC_A02189,0
NCTC8325 Genomic sequence,2348272..2348631,Peak,2348492,360,42.91465196,0,SAOUHSC_02553,77,SAOUHSC_02554,0
NCTC8325 Genomic sequence,1922056..1922378,Peak,1922239,323,41.13629016,0,SAOUHSC_02012,74,SAOUHSC_02013,0
NCTC8325 Genomic sequence,1365375..1365719,Peak,1365515,345,40.98117227,0,SAOUHSC_01425,73,SAOUHSC_01427,0
NCTC8325 Genomic sequence,1453360..1453777,Peak,1453638,418,44.05193713,0,SAOUHSC_01499,73,SAOUHSC_01500,0
NCTC8325 Genomic sequence,1991578..1991874,Peak,1991735,297,42.46182864,0,gatC,71,SAOUHSC_02119,0
NCTC8325 Genomic sequence,2131564..2131981,Peak,2131842,418,44.13182271,0,SAOUHSC_02297,68,SAOUHSC_02298,0
NCTC8325 Genomic sequence,1346181..1346474,Peak,1346335,294,44.45517511,0,SAOUHSC_01403,63,SAOUHSC_01405,0
NCTC8325 Genomic sequence,2281890..2282216,Peak,2282077,327,42.52668518,0,SAOUHSC_A02331,62,SAOUHSC_02458,0
NCTC8325 Genomic sequence,99281..99564,Peak,99425,284,43.14803145,0,SAOUHSC_00092,60,SAOUHSC_00093,0
NCTC8325 Genomic sequence,405171..405487,Peak,405311,317,39.50746118,0,SAOUHSC_00401,43,SAOUHSC_00402,0
NCTC8325 Genomic sequence,1556635..1556980,Peak,1556774,346,43.57807509,0,SAOUHSC_01635,43,SAOUHSC_01636,0
NCTC8325 Genomic sequence,817344..817634,Peak,817484,291,45.11370909,0,SAOUHSC_00846,39,SAOUHSC_00847,0
NCTC8325 Genomic sequence,893807..894109,Peak,893970,303,43.71458612,0,SAOUHSC_00922,38,SAOUHSC_00923,0
NCTC8325 Genomic sequence,744107..744446,Peak,744307,340,41.03406306,0,SAOUHSC_00760,37,SAOUHSC_00762,0
NCTC8325 Genomic sequence,1201754..1202091,Peak,1201894,338,42.79991387,0,rpsO,32,SAOUHSC_01251,0
NCTC8325 Genomic sequence,799718..800057,Peak,799858,340,42.72070363,0,SAOUHSC_00817,24,SAOUHSC_00818,0
NCTC8325 Genomic sequence,906558..906858,Peak,906698,301,39.82336403,0,SAOUHSC_00933,20,spxA,0
NCTC8325 Genomic sequence,946652..946974,Peak,946792,323,46.89015095,0,SAOUHSC_00971,18,SAOUHSC_00972,0
NCTC8325 Genomic sequence,1757352..1757712,Peak,1757492,361,47.16070029,0,SAOUHSC_01850,16,SAOUHSC_01851,0
NCTC8325 Genomic sequence,2128264..2128575,Peak,2128404,312,51.24116925,0,SAOUHSC_T00034,13,SAOUHSC_02294,0
NCTC8325 Genomic sequence,679787..680070,Peak,679931,284,46.55480045,0,SAOUHSC_00694,12,SAOUHSC_00695,0
NCTC8325 Genomic sequence,2478951..2479246,Peak,2479107,296,41.74984637,0,SAOUHSC_02695,11,SAOUHSC_02696,0
NCTC8325 Genomic sequence,666071..666360,Peak,666211,290,44.02105626,0,SAOUHSC_00676,5,SAOUHSC_00677,0
NCTC8325 Genomic sequence,1045425..1045720,Peak,1045581,296,39.08673014,0,SAOUHSC_01081,4,SAOUHSC_01082,0
NCTC8325 Genomic sequence,1680593..1680898,Peak,1680733,306,39.48739432,0,tig,4,SAOUHSC_01780,0
NCTC8325 Genomic sequence,1676917..1677216,Peak,1677057,300,41.79141662,0,hemA,3,engB,0
NCTC8325 Genomic sequence,2284472..2284763,Peak,2284612,292,41.50498161,0,SAOUHSC_02461,2,SAOUHSC_02462,0
NCTC8325 Genomic sequence,34511..34875,Peak,34737,365,40.72001541,0,SAOUHSC_00029,0,SAOUHSC_00030,0
NCTC8325 Genomic sequence,562767..563085,Peak,562946,319,45.27368087,0,SAOUHSC_00554,0,SAOUHSC_00555,0
NCTC8325 Genomic sequence,764867..765198,Peak,765059,332,39.14109558,0,SAOUHSC_00782,0,SAOUHSC_00783,0
NCTC8325 Genomic sequence,887923..888279,Peak,888055,357,39.68158759,0,SAOUHSC_00915,0,SAOUHSC_00916,0
NCTC8325 Genomic sequence,909186..909476,Peak,909337,291,46.56897213,0,SAOUHSC_00936,0,SAOUHSC_00937,0
NCTC8325 Genomic sequence,1050473..1050774,Peak,1050613,302,44.34281148,0,SAOUHSC_01090,0,SAOUHSC_01091,0
NCTC8325 Genomic sequence,1070230..1070549,Peak,1070410,320,49.13412026,0,SAOUHSC_01109,0,SAOUHSC_01110,0
NCTC8325 Genomic sequence,1249051..1249468,Peak,1249191,418,42.56241704,0,SAOUHSC_01296,0,SAOUHSC_01297,0
NCTC8325 Genomic sequence,1250052..1250332,Peak,1250193,281,42.32507241,0,SAOUHSC_01300,0,SAOUHSC_01301,0
NCTC8325 Genomic sequence,1251396..1251785,Peak,1251646,390,47.15501012,0,SAOUHSC_01305,0,SAOUHSC_01306,0
NCTC8325 Genomic sequence,1255400..1255732,Peak,1255540,333,38.94024794,0,SAOUHSC_01310,0,SAOUHSC_01311,0
NCTC8325 Genomic sequence,1257213..1257504,Peak,1257353,292,44.64347722,0,SAOUHSC_01312,0,SAOUHSC_01313,0
NCTC8325 Genomic sequence,1259778..1260062,Peak,1259918,285,47.04662453,0,SAOUHSC_01316,0,SAOUHSC_01317,0
NCTC8325 Genomic sequence,1280785..1281091,Peak,1280952,307,42.09359465,0,SAOUHSC_01341,0,SAOUHSC_01343,0
NCTC8325 Genomic sequence,1611076..1611408,Peak,1611269,333,41.26720188,0,SAOUHSC_01704,0,SAOUHSC_01705,0
NCTC8325 Genomic sequence,2003489..2003880,Peak,2003741,392,42.51811672,0,SAOUHSC_02127,0,SAOUHSC_02129,0
NCTC8325 Genomic sequence,2691353..2691667,Peak,2691528,315,47.65883012,0,SAOUHSC_02925,0,SAOUHSC_02926,0
NCTC8325 Genomic sequence,656836..657149,Peak,656976,314,47.60596601,0,SAOUHSC_00668,256,SAOUHSC_00669,154
NCTC8325 Genomic sequence,1071840..1072200,Peak,1072061,361,52.34809462,0,SAOUHSC_01112,203,SAOUHSC_01113,107
NCTC8325 Genomic sequence,2001938..2002257,Peak,2002118,320,54.64856044,0,SAOUHSC_02126,459,SAOUHSC_02127,81
NCTC8325 Genomic sequence,661669..661966,Peak,661828,298,46.65762624,0,SAOUHSC_00672,334,SAOUHSC_00673,64
NCTC8325 Genomic sequence,2774161..2774445,Peak,2774306,285,52.51397324,0,SAOUHSC_03000,559,SAOUHSC_03001,4
NCTC8325 Genomic sequence,1077624..1078042,Peak,1077764,419,50.76637472,0,SAOUHSC_01121,251,SAOUHSC_01122,2
NCTC8325 Genomic sequence,1788130..1788467,Peak,1788270,338,43.73333099,0,SAOUHSC_01872,6664,SAOUHSC_01873,0
NCTC8325 Genomic sequence,1837859..1838173,Peak,1837999,315,53.54144703,0,SAOUHSC_01930,4023,SAOUHSC_01931,0
NCTC8325 Genomic sequence,967764..968056,Peak,967904,293,46.68381432,0,SAOUHSC_00993,3740,SAOUHSC_00994,0
NCTC8325 Genomic sequence,1836242..1836462,Peak,1836323,221,39.74600416,0,SAOUHSC_01930,2406,SAOUHSC_01931,0
NCTC8325 Genomic sequence,1649491..1649809,Peak,1649631,319,38.609246,0,SAOUHSC_01743,2206,SAOUHSC_01744,0
NCTC8325 Genomic sequence,1044143..1044427,Peak,1044283,285,48.38146337,0,SAOUHSC_01078,2069,SAOUHSC_01079,0
NCTC8325 Genomic sequence,2295269..2295686,Peak,2295547,418,53.66692008,0,SAOUHSC_02470,1904,SAOUHSC_02471,0
NCTC8325 Genomic sequence,2734168..2734510,Peak,2734308,343,45.95246382,0,SAOUHSC_02970,1860,SAOUHSC_02971,0
NCTC8325 Genomic sequence,74883..75269,Peak,75130,387,39.35595577,0,SAOUHSC_00067,1782,SAOUHSC_00069,0
NCTC8325 Genomic sequence,1835605..1836018,Peak,1835880,414,40.9377878,0,SAOUHSC_01930,1769,SAOUHSC_01931,0
NCTC8325 Genomic sequence,2501937..2502293,Peak,2502077,357,41.85216979,0,SAOUHSC_02718,1742,SAOUHSC_02719,0
NCTC8325 Genomic sequence,1351199..1351485,Peak,1351346,287,40.39833662,0,SAOUHSC_01409,1695,SAOUHSC_01411,0
NCTC8325 Genomic sequence,1733594..1733883,Peak,1733734,290,49.34460995,0,SAOUHSC_01826,1629,SAOUHSC_01827,0
NCTC8325 Genomic sequence,1455123..1455421,Peak,1455262,299,38.83843245,0,SAOUHSC_01500,1559,SAOUHSC_01501,0
NCTC8325 Genomic sequence,558290..558649,Peak,558426,360,41.65675563,0,SAOUHSC_00547,1544,SAOUHSC_00548,0
NCTC8325 Genomic sequence,273010..273353,Peak,273150,344,41.51673738,0,SAOUHSC_00251,1498,SAOUHSC_00253,0
NCTC8325 Genomic sequence,2294791..2295195,Peak,2295059,405,53.31029372,0,SAOUHSC_02470,1426,SAOUHSC_02471,0
NCTC8325 Genomic sequence,1758945..1759258,Peak,1759085,314,41.13743158,0,SAOUHSC_01851,1423,SAOUHSC_01852,0
NCTC8325 Genomic sequence,2007330..2007663,Peak,2007524,334,39.27984326,0,nadE,1327,SAOUHSC_02133,0
NCTC8325 Genomic sequence,890827..891155,Peak,891016,329,40.61128207,0,SAOUHSC_00917,1163,SAOUHSC_00919,0
NCTC8325 Genomic sequence,110038..110332,Peak,110178,295,43.51090768,0,SAOUHSC_00104,1143,SAOUHSC_00105,0
NCTC8325 Genomic sequence,774129..774425,Peak,774269,297,45.27905796,0,clpP,1128,SAOUHSC_00792,0
NCTC8325 Genomic sequence,76071..76365,Peak,76211,295,47.42346,0,SAOUHSC_00069,1091,SAOUHSC_00070,0
NCTC8325 Genomic sequence,960420..960750,Peak,960560,331,46.16300879,0,SAOUHSC_00987,1085,SAOUHSC_00988,0
NCTC8325 Genomic sequence,2351964..2352266,Peak,2352127,303,48.52910621,0,SAOUHSC_02555,1083,SAOUHSC_02557,0
NCTC8325 Genomic sequence,1584844..1585141,Peak,1584984,298,40.11949329,0,SAOUHSC_01672,924,SAOUHSC_01673,0
NCTC8325 Genomic sequence,1674650..1674951,Peak,1674790,302,41.46128925,0,SAOUHSC_01773,909,hemC,0
NCTC8325 Genomic sequence,2081560..2081849,Peak,2081710,290,43.1776979,0,SAOUHSC_02245,898,SAOUHSC_02246,0
NCTC8325 Genomic sequence,1860861..1861278,Peak,1861001,418,49.66594679,0,SAOUHSC_01954,867,SAOUHSC_01955,0
NCTC8325 Genomic sequence,1858755..1859055,Peak,1858895,301,40.46556529,0,SAOUHSC_01953,866,SAOUHSC_01954,0
NCTC8325 Genomic sequence,1712779..1713085,Peak,1712918,307,40.48847318,0,SAOUHSC_01808,852,SAOUHSC_01809,0
NCTC8325 Genomic sequence,886092..886396,Peak,886231,305,50.43178917,0,SAOUHSC_00912,846,SAOUHSC_00913,0
NCTC8325 Genomic sequence,1511402..1511693,Peak,1511554,292,40.97997134,0,SAOUHSC_01583,834,SAOUHSC_01584,0
NCTC8325 Genomic sequence,2678803..2679162,Peak,2678943,360,45.03335433,0,SAOUHSC_02910,827,SAOUHSC_02911,0
NCTC8325 Genomic sequence,1914668..1914986,Peak,1914808,319,42.15549484,0,SAOUHSC_02003,805,SAOUHSC_02004,0
NCTC8325 Genomic sequence,1355303..1355644,Peak,1355443,342,42.97511198,0,SAOUHSC_01414,803,SAOUHSC_01415,0
NCTC8325 Genomic sequence,2734972..2735389,Peak,2735250,418,41.19142946,0,SAOUHSC_02971,801,SAOUHSC_02972,0
NCTC8325 Genomic sequence,1830915..1831201,Peak,1831064,287,44.54938754,0,SAOUHSC_01922,785,SAOUHSC_01923,0
NCTC8325 Genomic sequence,702161..702446,Peak,702301,286,45.4510522,0,SAOUHSC_00716,777,SAOUHSC_00717,0
NCTC8325 Genomic sequence,1354074..1354382,Peak,1354243,309,45.69671909,0,SAOUHSC_01412,763,SAOUHSC_01413,0
NCTC8325 Genomic sequence,1847284..1847593,Peak,1847454,310,49.30740739,0,SAOUHSC_01941,754,SAOUHSC_01942,0
NCTC8325 Genomic sequence,699841..700126,Peak,699981,286,38.7888961,0,SAOUHSC_00713,718,SAOUHSC_00714,0
NCTC8325 Genomic sequence,1521180..1521473,Peak,1521334,294,44.84592052,0,SAOUHSC_01595,697,SAOUHSC_01596,0
NCTC8325 Genomic sequence,1839175..1839500,Peak,1839315,326,40.98525795,0,SAOUHSC_01931,689,SAOUHSC_01932,0
NCTC8325 Genomic sequence,1848028..1848373,Peak,1848234,346,41.9262164,0,SAOUHSC_01942,666,SAOUHSC_01944,0
NCTC8325 Genomic sequence,913541..913834,Peak,913681,294,46.27437273,0,SAOUHSC_00939,654,SAOUHSC_00940,0
NCTC8325 Genomic sequence,939432..939735,Peak,939571,304,46.68159188,0,SAOUHSC_T0008,643,SAOUHSC_00961,0
NCTC8325 Genomic sequence,2532321..2532628,Peak,2532461,308,37.54877427,0.00E+00,SAOUHSC_02753,620,SAOUHSC_02754,0
NCTC8325 Genomic sequence,1445095..1445430,Peak,1445292,336,39.82675493,0,ubiE,619,SAOUHSC_01488,0
NCTC8325 Genomic sequence,1362250..1362622,Peak,1362390,373,44.18268811,0,SAOUHSC_01419,613,SAOUHSC_01420,0
NCTC8325 Genomic sequence,2487192..2487479,Peak,2487340,288,41.85641979,0,SAOUHSC_02704,560,SAOUHSC_02705,0
NCTC8325 Genomic sequence,1245383..1245741,Peak,1245523,359,46.22444286,0,SAOUHSC_01288,544,SAOUHSC_01289,0
NCTC8325 Genomic sequence,1826279..1826575,Peak,1826419,297,45.79178547,0,SAOUHSC_01916,528,SAOUHSC_01917,0
NCTC8325 Genomic sequence,1861427..1861754,Peak,1861615,328,49.87897879,0,SAOUHSC_01955,526,SAOUHSC_01956,0
NCTC8325 Genomic sequence,377766..378051,Peak,377912,286,38.79885693,0,SAOUHSC_00370,499,SAOUHSC_00371,0
NCTC8325 Genomic sequence,375221..375535,Peak,375361,315,45.84026022,0,SAOUHSC_00368,481,SAOUHSC_00369,0
NCTC8325 Genomic sequence,1889762..1890047,Peak,1889902,286,41.09539595,0,fumC,472,SAOUHSC_01984,0
NCTC8325 Genomic sequence,1906947..1907302,Peak,1907163,356,46.02927125,0,SAOUHSC_R0003,461,SAOUHSC_01997,0
NCTC8325 Genomic sequence,790455..790787,Peak,790648,333,39.50193136,0,SAOUHSC_00807,440,SAOUHSC_00808,0
NCTC8325 Genomic sequence,1370431..1370724,Peak,1370571,294,37.56456259,0.00E+00,SAOUHSC_01433,435,SAOUHSC_01434,0
NCTC8325 Genomic sequence,1706069..1706393,Peak,1706209,325,40.74767291,0,SAOUHSC_01803,427,SAOUHSC_01805,0
NCTC8325 Genomic sequence,2714602..2714891,Peak,2714742,290,46.37466989,0,SAOUHSC_02950,423,SAOUHSC_02953,0
NCTC8325 Genomic sequence,1987952..1988336,Peak,1988092,385,42.72480294,0,SAOUHSC_02114,415,SAOUHSC_02115,0
NCTC8325 Genomic sequence,1833542..1833916,Peak,1833777,375,47.83302283,0,SAOUHSC_01929,413,SAOUHSC_01930,0
NCTC8325 Genomic sequence,2714085..2714389,Peak,2714253,305,38.47593639,0,SAOUHSC_A02794,401,SAOUHSC_02950,0
NCTC8325 Genomic sequence,2111253..2111537,Peak,2111393,285,44.68650117,0,SAOUHSC_02279,399,SAOUHSC_02280,0
NCTC8325 Genomic sequence,1362679..1362961,Peak,1362822,283,39.52067766,0,SAOUHSC_01420,386,SAOUHSC_01421,0
NCTC8325 Genomic sequence,1909089..1909375,Peak,1909229,287,41.59281968,0,SAOUHSC_01998,371,SAOUHSC_01999,0
NCTC8325 Genomic sequence,114893..115199,Peak,115033,307,40.92441587,0,SAOUHSC_00109,324,SAOUHSC_00111,0
NCTC8325 Genomic sequence,385973..386285,Peak,386113,313,42.9397552,0,SAOUHSC_00378,310,SAOUHSC_00381a,0
NCTC8325 Genomic sequence,2133479..2133777,Peak,2133619,299,40.96529139,0,SAOUHSC_02299,295,SAOUHSC_02300,0
NCTC8325 Genomic sequence,1612364..1612669,Peak,1612530,306,43.28802194,0,SAOUHSC_01705,289,SAOUHSC_01706,0
NCTC8325 Genomic sequence,2675028..2675356,Peak,2675168,329,43.99370679,0,SAOUHSC_02906,265,SAOUHSC_02907,0
NCTC8325 Genomic sequence,801539..801819,Peak,801679,281,44.20824505,0,SAOUHSC_00819,261,SAOUHSC_00820,0
NCTC8325 Genomic sequence,730833..731156,Peak,731017,324,41.08548768,0,SAOUHSC_00744,259,SAOUHSC_00745,0
NCTC8325 Genomic sequence,498378..498686,Peak,498547,309,39.95542594,0,SAOUHSC_R00012,250,SAOUHSC_00497,0
NCTC8325 Genomic sequence,1345309..1345598,Peak,1345449,290,54.35665582,0,SAOUHSC_01401,229,SAOUHSC_01402,0
NCTC8325 Genomic sequence,2557708..2558060,Peak,2557922,353,43.57350127,0,SAOUHSC_02783,228,SAOUHSC_02784,0
NCTC8325 Genomic sequence,1298532..1298826,Peak,1298672,295,48.16789682,0,SAOUHSC_01354,222,SAOUHSC_01356,0
NCTC8325 Genomic sequence,1646553..1646851,Peak,1646712,299,51.34197688,0,SAOUHSC_01742,214,SAOUHSC_01743,0
NCTC8325 Genomic sequence,1247271..1247541,Peak,1247407,271,41.67781819,0,SAOUHSC_01291,208,SAOUHSC_01292,0
NCTC8325 Genomic sequence,2409306..2409588,Peak,2409446,283,42.7109521,0,SAOUHSC_02620,205,SAOUHSC_02621,0
NCTC8325 Genomic sequence,575615..575925,Peak,575786,311,45.45485445,0,SAOUHSC_00572,124,SAOUHSC_00573,227
NCTC8325 Genomic sequence,1906554..1906947,Peak,1906694,394,51.76183547,0,SAOUHSC_R0003,68,SAOUHSC_01997,276
NCTC8325 Genomic sequence,510679..510971,Peak,510832,293,42.69575523,0,SAOUHSC_00508,49,gltX,214
NCTC8325 Genomic sequence,2374792..2375072,Peak,2374932,281,45.3776245,0,SAOUHSC_02582,45,SAOUHSC_02583,275
NCTC8325 Genomic sequence,1857924..1858306,Peak,1858064,383,40.19993251,0,SAOUHSC_01953,35,SAOUHSC_01954,703
NCTC8325 Genomic sequence,2031388..2031777,Peak,2031639,390,48.83729897,0,SAOUHSC_02161,35,SAOUHSC_02164,532
NCTC8325 Genomic sequence,2361409..2361734,Peak,2361549,326,52.77594762,0,SAOUHSC_02570,20,SAOUHSC_02571,263
NCTC8325 Genomic sequence,2773607..2773886,Peak,2773746,280,44.52789282,0,SAOUHSC_03000,5,SAOUHSC_03001,563
NCTC8325 Genomic sequence,1244843..1245132,Peak,1244983,290,48.41723288,0,SAOUHSC_01288,4,SAOUHSC_01289,394
NCTC8325 Genomic sequence,1282181..1282500,Peak,1282321,320,38.76487132,0,SAOUHSC_01343,0,SAOUHSC_1342a,1556
NCTC8325 Genomic sequence,943724..944024,Peak,943864,301,44.85592683,0,SAOUHSC_00968,0,SAOUHSC_00969,1272
NCTC8325 Genomic sequence,1282500..1282799,Peak,1282660,300,41.49048818,0,SAOUHSC_01343,0,SAOUHSC_1342a,1257
NCTC8325 Genomic sequence,1170458..1170766,Peak,1170627,309,39.64496552,0,SAOUHSC_01220,0,SAOUHSC_01221,1137
NCTC8325 Genomic sequence,1862883..1863190,Peak,1863051,308,39.70248111,0,SAOUHSC_01957,0,SAOUHSC_T00050,1121
NCTC8325 Genomic sequence,2082696..2082977,Peak,2082838,282,40.29114119,0,SAOUHSC_02247,0,SAOUHSC_02248,977
NCTC8325 Genomic sequence,889632..889935,Peak,889772,304,47.50998806,0,SAOUHSC_00917,0,SAOUHSC_00919,729
NCTC8325 Genomic sequence,1319606..1319905,Peak,1319766,300,45.73744402,0,SAOUHSC_01374,0,SAOUHSC_01375,393
NCTC8325 Genomic sequence,2576212..2576471,Peak,2576352,260,38.76656974,0,SAOUHSC_02800,0,SAOUHSC_02801,361
NCTC8325 Genomic sequence,1171327..1171584,Peak,1171445,258,41.84454219,0,SAOUHSC_01220,0,SAOUHSC_01221,319
